Rake Num,Start Stn,Start Time,End Stn,End Time,Duty Num
707,PBGW DN,21:07,IPE,22:06,238
707,IPE,22:06,KKDA DN,22:12,238
707,KKDA DN,22:12,MKPR,22:50,235
707,MKPR,22:52,PBGW DN,23:06,235
707,PBGW DN,23:06,DDSC,23:24,235
707,DDSC,23:24,DDSC SDG STABLE,23:44,235
 , , , , , 
708,DDSC SDG,04:55,PBGW UP,06:01,201
708,PBGW UP,06:01,MKPR,06:17,201
708,MKPR,06:20,KKDA UP,06:57,201
708,KKDA UP,06:57,IPE,07:04,413
708,IPE,07:04,PBGW UP,08:04,413
708,PBGW UP,08:04,MKPR,08:19,413
708,MKPR,08:20,KKDA UP,08:57,413
708,KKDA UP,08:57,IPE,09:04,404
708,IPE,09:04,PBGW UP,10:04,404
708,PBGW UP,10:04,MKPR,10:19,404
708,MKPR,10:20,KKDA UP,10:57,404
708,KKDA UP,10:57,IPE,11:04,414
708,IPE,11:04,PBGW UP,12:04,414
708,PBGW UP,12:04,MKPR,12:19,415
708,MKPR,12:20,KKDA UP,12:57,415
708,KKDA UP,12:57,IPE,13:04,423
708,IPE,13:04,PBGW UP,14:04,423
708,PBGW UP,14:04,MKPR,14:19,423
708,MKPR,14:20,KKDA UP,14:57,423
708,KKDA UP,14:57,IPE,15:04,419
708,IPE,15:04,PBGW UP,16:04,419
708,PBGW UP,16:04,MKPR,16:19,419
708,MKPR,16:20,KKDA UP,16:57,419
708,KKDA UP,16:57,IPE,17:04,431
708,IPE,17:04,PBGW UP,18:04,431
708,PBGW UP,18:04,MKPR,18:19,239
708,MKPR,18:20,KKDA UP,18:57,239
708,KKDA UP,18:57,IPE,19:04,430
708,IPE,19:04,PBGW UP,20:04,430
708,PBGW UP,20:04,MKPR,20:19,232
708,MKPR,20:20,KKDA UP,20:57,232
708,KKDA UP,20:57,IPE,21:04,232
708,IPE,21:04,PBGW UP,22:04,232
708,PBGW UP,22:04,MKPR,22:19,232
 , , , , , 
709,MKPR,05:40,PBGW DN,05:55,204
709,PBGW DN,05:55,IPE,06:50,204
709,IPE,06:50,KKDA DN,06:57,204
709,KKDA DN,06:57,MKPR,07:35,204
709,MKPR,07:41,PBGW DN,07:55,204
709,PBGW DN,07:55,IPE,08:54,410
709,IPE,08:54,KKDA DN,09:01,410
709,KKDA DN,09:01,MKPR,09:39,406
709,MKPR,09:40,PBGW DN,09:54,406
709,PBGW DN,09:54,IPE,10:53,406
709,IPE,10:53,KKDA DN,11:00,406
709,KKDA DN,11:00,MKPR,11:38,416
709,MKPR,11:38,PBGW DN,11:53,416
709,PBGW DN,11:53,IPE,12:52,416
709,IPE,12:52,KKDA DN,12:59,416
709,KKDA DN,12:59,MKPR,13:36,424
709,MKPR,13:37,PBGW DN,13:52,424
709,PBGW DN,13:52,IPE,14:51,424
709,IPE,14:51,KKDA DN,14:57,424
709,KKDA DN,14:57,MKPR,15:35,426
709,MKPR,15:36,PBGW DN,15:50,426
709,PBGW DN,15:50,IPE,16:49,426
709,IPE,16:49,KKDA DN,16:56,426
709,KKDA DN,16:56,MKPR,17:34,425
709,MKPR,17:35,PBGW DN,17:49,425
709,PBGW DN,17:49,IPE,18:48,425
709,IPE,18:48,KKDA DN,18:55,425
709,KKDA DN,18:55,MKPR,19:33,438
709,MKPR,19:33,PBGW DN,19:48,438
709,PBGW DN,19:48,IPE,20:47,436
709,IPE,20:47,KKDA DN,20:54,436
709,KKDA DN,20:54,MKPR,21:31,428
709,MKPR,21:32,PBGW DN,21:47,428
709,PBGW DN,21:47,IPE,22:46,428
709,IPE,22:46,KKDA DN,22:52,428
709,KKDA DN,22:52,MKPR,23:30,431
709,MKPR,23:32,MUPR,23:54,431
709,MUPR,23:54,MUPR DN PF STABLE,24:14,431
 , , , , , 
710,MKPR,05:35,KKDA UP,06:25,203
710,KKDA UP,06:25,IPE,06:32,203
710,IPE,06:32,PBGW UP,07:31,203
710,PBGW UP,07:31,MKPR,07:46,215
710,MKPR,07:50,KKDA UP,08:27,215
710,KKDA UP,08:27,IPE,08:34,215
710,IPE,08:34,PBGW UP,09:34,215
710,PBGW UP,09:34,MKPR,09:49,213
710,MKPR,09:50,KKDA UP,10:27,213
710,KKDA UP,10:27,IPE,10:34,206
710,IPE,10:34,PBGW UP,11:34,206
710,PBGW UP,11:34,MKPR,11:49,214
710,MKPR,11:50,KKDA UP,12:27,214
710,KKDA UP,12:27,IPE,12:34,214
710,IPE,12:34,PBGW UP,13:34,214
710,PBGW UP,13:34,MKPR,13:49,419
710,MKPR,13:50,KKDA UP,14:27,419
710,KKDA UP,14:27,IPE,14:34,420
710,IPE,14:34,PBGW UP,15:34,420
710,PBGW UP,15:34,MKPR,15:49,420
710,MKPR,15:50,KKDA UP,16:27,420
710,KKDA UP,16:27,IPE,16:34,221
710,IPE,16:34,PBGW UP,17:34,221
710,PBGW UP,17:34,MKPR,17:49,236
710,MKPR,17:50,KKDA UP,18:27,236
710,KKDA UP,18:27,IPE,18:34,423
710,IPE,18:34,PBGW UP,19:34,423
710,PBGW UP,19:34,MKPR,19:49,423
710,MKPR,19:50,KKDA UP,20:27,423
710,KKDA UP,20:27,IPE,20:34,241
710,IPE,20:34,PBGW UP,21:34,241
710,PBGW UP,21:34,MKPR,21:49,237
710,MKPR,21:50,KKDA UP,22:27,237
710,KKDA UP,22:27,IPE,22:34,237
710,IPE,22:34,PBGW UP,23:34,237
710,PBGW UP,23:34,MKPR,23:49,237
 , , , , , 
711,MKPR,05:50,PBGW DN,06:03,205
711,PBGW DN,06:03,IPE,07:02,205
711,IPE,07:02,KKDA DN,07:09,205
711,KKDA DN,07:09,MKPR,07:47,205
711,MKPR,07:51,PBGW DN,08:05,205
711,PBGW DN,08:05,IPE,09:04,203
711,IPE,09:04,KKDA DN,09:11,203
711,KKDA DN,09:11,MKPR,09:49,412
711,MKPR,09:50,PBGW DN,10:04,412
711,PBGW DN,10:04,IPE,11:03,412
711,IPE,11:03,KKDA DN,11:10,412
711,KKDA DN,11:10,MKPR,11:48,201
711,MKPR,11:48,PBGW DN,12:03,201
711,PBGW DN,12:03,IPE,13:02,220
711,IPE,13:02,KKDA DN,13:09,220
711,KKDA DN,13:09,MKPR,13:46,220
711,MKPR,13:47,PBGW DN,14:02,220
711,PBGW DN,14:02,IPE,15:01,218
711,IPE,15:01,KKDA DN,15:07,218
711,KKDA DN,15:07,MKPR,15:45,218
711,MKPR,15:46,PBGW DN,16:00,218
711,PBGW DN,16:00,IPE,16:59,224
711,IPE,16:59,KKDA DN,17:06,224
711,KKDA DN,17:06,MKPR,17:44,224
711,MKPR,17:45,PBGW DN,17:59,224
711,PBGW DN,17:59,IPE,18:58,223
711,IPE,18:58,KKDA DN,19:05,223
711,KKDA DN,19:05,MKPR,19:43,223
711,MKPR,19:43,PBGW DN,19:58,223
711,PBGW DN,19:58,IPE,20:57,434
711,IPE,20:57,KKDA DN,21:04,434
711,KKDA DN,21:04,MKPR,21:41,437
711,MKPR,21:45,PBGW DN,21:59,437
711,PBGW DN,21:59,IPE,22:58,240
711,IPE,22:58,KKDA DN,23:05,240
711,KKDA DN,23:05,MKPR,23:43,240
 , , , , , 
712,MKPR,06:00,KKDA UP,06:37,206
712,KKDA UP,06:37,IPE,06:44,206
712,IPE,06:44,PBGW UP,07:44,206
712,PBGW UP,07:44,MKPR,07:59,403
712,MKPR,08:00,KKDA UP,08:37,403
712,KKDA UP,08:37,IPE,08:44,407
712,IPE,08:44,PBGW UP,09:44,407
712,PBGW UP,09:44,MKPR,09:59,209
712,MKPR,10:00,KKDA UP,10:37,209
712,KKDA UP,10:37,IPE,10:44,203
712,IPE,10:44,PBGW UP,11:44,203
712,PBGW UP,11:44,MKPR,11:59,418
712,MKPR,12:00,KKDA UP,12:37,418
712,KKDA UP,12:37,IPE,12:44,422
712,IPE,12:44,PBGW UP,13:44,422
712,PBGW UP,13:44,MKPR,13:59,216
712,MKPR,14:00,KKDA UP,14:37,216
712,KKDA UP,14:37,IPE,14:44,216
712,IPE,14:44,PBGW UP,15:44,216
712,PBGW UP,15:44,MKPR,15:59,219
712,MKPR,16:00,KKDA UP,16:37,219
712,KKDA UP,16:37,IPE,16:44,219
712,IPE,16:44,PBGW UP,17:44,219
712,PBGW UP,17:44,MKPR,17:59,238
712,MKPR,18:00,KKDA UP,18:37,238
712,KKDA UP,18:37,IPE,18:44,429
712,IPE,18:44,PBGW UP,19:44,429
712,PBGW UP,19:44,MKPR,19:59,227
712,MKPR,20:00,KKDA UP,20:37,227
712,KKDA UP,20:37,IPE,20:44,227
712,IPE,20:44,PBGW UP,21:44,227
712,PBGW UP,21:44,MKPR,21:59,239
712,MKPR,22:00,KKDA UP,22:37,239
712,KKDA UP,22:37,IPE,22:44,239
712,IPE,22:44,PBGW UP,23:44,239
712,PBGW UP,23:44,MKPR,23:59,239
 , , , , , 
713,MKPR,06:11,PBGW DN,06:25,207
713,PBGW DN,06:25,IPE,07:24,207
713,IPE,07:24,KKDA DN,07:31,207
713,KKDA DN,07:31,MKPR,08:09,402
713,MKPR,08:10,PBGW DN,08:24,402
713,PBGW DN,08:24,IPE,09:23,402
713,IPE,09:23,KKDA DN,09:30,402
713,KKDA DN,09:30,MKPR,10:08,403
713,MKPR,10:08,PBGW DN,10:23,403
713,PBGW DN,10:23,IPE,11:22,407
713,IPE,11:22,KKDA DN,11:29,407
713,KKDA DN,11:29,MKPR,12:06,417
713,MKPR,12:07,PBGW DN,12:22,417
713,PBGW DN,12:22,IPE,13:21,417
713,IPE,13:21,KKDA DN,13:27,417
713,KKDA DN,13:27,MKPR,14:05,415
713,MKPR,14:06,PBGW DN,14:20,415
713,PBGW DN,14:20,IPE,15:19,415
713,IPE,15:19,KKDA DN,15:26,415
713,KKDA DN,15:26,MKPR,16:04,429
713,MKPR,16:05,PBGW DN,16:19,429
713,PBGW DN,16:19,IPE,17:18,429
713,IPE,17:18,KKDA DN,17:25,429
713,KKDA DN,17:25,MKPR,18:03,433
713,MKPR,18:03,PBGW DN,18:18,433
713,PBGW DN,18:18,IPE,19:17,231
713,IPE,19:17,KKDA DN,19:24,231
713,KKDA DN,19:24,MKPR,20:01,231
713,MKPR,20:02,PBGW DN,20:17,231
713,PBGW DN,20:17,IPE,21:16,229
713,IPE,21:16,KKDA DN,21:22,229
713,KKDA DN,21:22,MKPR,22:00,229
713,MKPR,22:00,PBGW DN,22:14,229
713,PBGW DN,22:14,IPE,23:13,241
713,IPE,23:13,KKDA DN,23:20,241
713,KKDA DN,23:20,MKPR,23:58,241
 , , , , , 
714,MKPR,06:30,KKDA UP,07:07,208
714,KKDA UP,07:07,IPE,07:14,208
714,IPE,07:14,PBGW UP,08:14,208
714,PBGW UP,08:14,MKPR,08:29,216
714,MKPR,08:30,KKDA UP,09:07,216
714,KKDA UP,09:07,IPE,09:14,216
714,IPE,09:14,PBGW UP,10:14,216
714,PBGW UP,10:14,MKPR,10:29,409
714,MKPR,10:30,KKDA UP,11:07,409
714,KKDA UP,11:07,IPE,11:14,205
714,IPE,11:14,PBGW UP,12:14,205
714,PBGW UP,12:14,MKPR,12:29,210
714,MKPR,12:30,KKDA UP,13:07,210
714,KKDA UP,13:07,IPE,13:14,210
