,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
148,723,MKPR,08:50,PBGW DN,09:04,DN,14
149,718,MKPR,08:50,KKDA UP,09:27,UP,37
150,701,KKDA DN,08:51,MKPR,09:29,DN,38
151,709,IPE,08:54,KKDA DN,09:01,DN,7
152,715,PBGW DN,08:54,IPE,09:53,DN,59
153,704,IPE,08:54,PBGW UP,09:54,UP,60
154,722,PBGW UP,08:54,MKPR,09:09,UP,15
155,708,KKDA UP,08:57,IPE,09:04,UP,7
156,707,MKPR,09:00,PBGW DN,09:14,DN,14
157,720,MKPR,09:00,KKDA UP,09:37,UP,37
158,709,KKDA DN,09:01,MKPR,09:39,DN,38
159,708,IPE,09:04,PBGW UP,10:04,UP,60
160,723,PBGW DN,09:04,IPE,10:03,DN,59
161,711,IPE,09:04,KKDA DN,09:11,DN,7
162,724,PBGW UP,09:04,MKPR,09:19,UP,15
163,714,KKDA UP,09:07,IPE,09:14,UP,7
164,717,MKPR,09:10,PBGW DN,09:24,DN,14
165,722,MKPR,09:10,KKDA UP,09:47,UP,37
166,711,KKDA DN,09:11,MKPR,09:49,DN,38
167,703,IPE,09:13,KKDA DN,09:20,DN,7
168,714,IPE,09:14,PBGW UP,10:14,UP,60
169,706,PBGW UP,09:14,MKPR,09:29,UP,15
170,707,PBGW DN,09:14,IPE,10:13,DN,59
171,716,KKDA UP,09:17,IPE,09:24,UP,7
172,703,KKDA DN,09:20,MKPR,09:58,DN,38
173,705,MKPR,09:20,PBGW DN,09:34,DN,14
174,724,MKPR,09:20,KKDA UP,09:57,UP,37
175,713,IPE,09:23,KKDA DN,09:30,DN,7
176,702,PBGW UP,09:24,MKPR,09:39,UP,15
177,716,IPE,09:24,PBGW UP,10:24,UP,60
178,717,PBGW DN,09:24,IPE,10:23,DN,59
179,718,KKDA UP,09:27,IPE,09:34,UP,7
180,713,KKDA DN,09:30,MKPR,10:08,DN,38
181,701,MKPR,09:30,PBGW DN,09:44,DN,14
182,706,MKPR,09:30,KKDA UP,10:07,UP,37
183,719,IPE,09:33,KKDA DN,09:40,DN,7
184,710,PBGW UP,09:34,MKPR,09:49,UP,15
185,718,IPE,09:34,PBGW UP,10:34,UP,60
186,705,PBGW DN,09:34,IPE,10:33,DN,59
187,720,KKDA UP,09:37,IPE,09:44,UP,7
