,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
249,717,KKDA DN,14:27,MKPR,15:05,DN,38
282,719,PBGW DN,14:30,IPE,15:29,DN,59
253,705,IPE,14:31,KKDA DN,14:37,DN,6
291,715,MKPR,14:36,PBGW DN,14:50,DN,14
254,705,KKDA DN,14:37,MKPR,15:15,DN,38
287,721,PBGW DN,14:40,IPE,15:39,DN,59
258,701,IPE,14:41,KKDA DN,14:47,DN,6
296,723,MKPR,14:46,PBGW DN,15:00,DN,14
259,701,KKDA DN,14:47,MKPR,15:25,DN,38
292,715,PBGW DN,14:50,IPE,15:49,DN,59
263,709,IPE,14:51,KKDA DN,14:57,DN,6
301,707,MKPR,14:56,PBGW DN,15:10,DN,14
264,709,KKDA DN,14:57,MKPR,15:35,DN,38
297,723,PBGW DN,15:00,IPE,15:59,DN,59
268,711,IPE,15:01,KKDA DN,15:07,DN,6
306,717,MKPR,15:06,PBGW DN,15:20,DN,14
269,711,KKDA DN,15:07,MKPR,15:45,DN,38
273,703,IPE,15:09,KKDA DN,15:16,DN,7
302,707,PBGW DN,15:10,IPE,16:09,DN,59
311,705,MKPR,15:16,PBGW DN,15:30,DN,14
274,703,KKDA DN,15:16,MKPR,15:54,DN,38
278,713,IPE,15:19,KKDA DN,15:26,DN,7
307,717,PBGW DN,15:20,IPE,16:19,DN,59
279,713,KKDA DN,15:26,MKPR,16:04,DN,38
316,701,MKPR,15:26,PBGW DN,15:40,DN,14
283,719,IPE,15:29,KKDA DN,15:36,DN,7
312,705,PBGW DN,15:30,IPE,16:29,DN,59
321,709,MKPR,15:36,PBGW DN,15:50,DN,14
284,719,KKDA DN,15:36,MKPR,16:14,DN,38
288,721,IPE,15:39,KKDA DN,15:46,DN,7
317,701,PBGW DN,15:40,IPE,16:39,DN,59
289,721,KKDA DN,15:46,MKPR,16:24,DN,38
326,711,MKPR,15:46,PBGW DN,16:00,DN,14
293,715,IPE,15:49,KKDA DN,15:56,DN,7
322,709,PBGW DN,15:50,IPE,16:49,DN,59
331,703,MKPR,15:55,PBGW DN,16:09,DN,14
294,715,KKDA DN,15:56,MKPR,16:34,DN,38
298,723,IPE,15:59,KKDA DN,16:06,DN,7
327,711,PBGW DN,16:00,IPE,16:59,DN,59
336,713,MKPR,16:05,PBGW DN,16:19,DN,14
299,723,KKDA DN,16:06,MKPR,16:44,DN,38
332,703,PBGW DN,16:09,IPE,17:08,DN,59
303,707,IPE,16:09,KKDA DN,16:16,DN,7
341,719,MKPR,16:15,PBGW DN,16:29,DN,14
304,707,KKDA DN,16:16,MKPR,16:54,DN,38
308,717,IPE,16:19,KKDA DN,16:26,DN,7
337,713,PBGW DN,16:19,IPE,17:18,DN,59
346,721,MKPR,16:25,PBGW DN,16:39,DN,14
309,717,KKDA DN,16:26,MKPR,17:04,DN,38
313,705,IPE,16:29,KKDA DN,16:36,DN,7
342,719,PBGW DN,16:29,IPE,17:28,DN,59
351,715,MKPR,16:35,PBGW DN,16:49,DN,14
314,705,KKDA DN,16:36,MKPR,17:14,DN,38
347,721,PBGW DN,16:39,IPE,17:38,DN,59
318,701,IPE,16:39,KKDA DN,16:46,DN,7
356,723,MKPR,16:45,PBGW DN,16:59,DN,14
319,701,KKDA DN,16:46,MKPR,17:24,DN,38
352,715,PBGW DN,16:49,IPE,17:48,DN,59
323,709,IPE,16:49,KKDA DN,16:56,DN,7
361,707,MKPR,16:55,PBGW DN,17:09,DN,14
324,709,KKDA DN,16:56,MKPR,17:34,DN,38
328,711,IPE,16:59,KKDA DN,17:06,DN,7
357,723,PBGW DN,16:59,IPE,17:58,DN,59
366,717,MKPR,17:05,PBGW DN,17:19,DN,14
329,711,KKDA DN,17:06,MKPR,17:44,DN,38
333,703,IPE,17:08,KKDA DN,17:15,DN,7
362,707,PBGW DN,17:09,IPE,18:08,DN,59
334,703,KKDA DN,17:15,MKPR,17:53,DN,38
371,705,MKPR,17:15,PBGW DN,17:29,DN,14
338,713,IPE,17:18,KKDA DN,17:25,DN,7
367,717,PBGW DN,17:19,IPE,18:18,DN,59
376,701,MKPR,17:25,PBGW DN,17:39,DN,14
339,713,KKDA DN,17:25,MKPR,18:03,DN,38
343,719,IPE,17:28,KKDA DN,17:35,DN,7
372,705,PBGW DN,17:29,IPE,18:28,DN,59
381,709,MKPR,17:35,PBGW DN,17:49,DN,14
344,719,KKDA DN,17:35,MKPR,18:13,DN,38
348,721,IPE,17:38,KKDA DN,17:45,DN,7
377,701,PBGW DN,17:39,IPE,18:38,DN,59
386,711,MKPR,17:45,PBGW DN,17:59,DN,14
349,721,KKDA DN,17:45,MKPR,18:23,DN,38
353,715,IPE,17:48,KKDA DN,17:55,DN,7
382,709,PBGW DN,17:49,IPE,18:48,DN,59
391,703,MKPR,17:53,PBGW DN,18:08,DN,15
354,715,KKDA DN,17:55,MKPR,18:33,DN,38
358,723,IPE,17:58,KKDA DN,18:05,DN,7
387,711,PBGW DN,17:59,IPE,18:58,DN,59
396,713,MKPR,18:03,PBGW DN,18:18,DN,15
359,723,KKDA DN,18:05,MKPR,18:43,DN,38
392,703,PBGW DN,18:08,IPE,19:07,DN,59
363,707,IPE,18:08,KKDA DN,18:15,DN,7
401,719,MKPR,18:13,PBGW DN,18:28,DN,15
364,707,KKDA DN,18:15,MKPR,18:53,DN,38
368,717,IPE,18:18,KKDA DN,18:25,DN,7
397,713,PBGW DN,18:18,IPE,19:17,DN,59
406,721,MKPR,18:23,PBGW DN,18:38,DN,15
369,717,KKDA DN,18:25,MKPR,19:03,DN,38
402,719,PBGW DN,18:28,IPE,19:27,DN,59
373,705,IPE,18:28,KKDA DN,18:35,DN,7
411,715,MKPR,18:33,PBGW DN,18:48,DN,15
374,705,KKDA DN,18:35,MKPR,19:13,DN,38
407,721,PBGW DN,18:38,IPE,19:37,DN,59
378,701,IPE,18:38,KKDA DN,18:45,DN,7
416,723,MKPR,18:43,PBGW DN,18:58,DN,15
379,701,KKDA DN,18:45,MKPR,19:23,DN,38
383,709,IPE,18:48,KKDA DN,18:55,DN,7
412,715,PBGW DN,18:48,IPE,19:47,DN,59
421,707,MKPR,18:53,PBGW DN,19:08,DN,15
384,709,KKDA DN,18:55,MKPR,19:33,DN,38
417,723,PBGW DN,18:58,IPE,19:57,DN,59
388,711,IPE,18:58,KKDA DN,19:05,DN,7
426,717,MKPR,19:03,PBGW DN,19:18,DN,15
389,711,KKDA DN,19:05,MKPR,19:43,DN,38
393,703,IPE,19:07,KKDA DN,19:14,DN,7
422,707,PBGW DN,19:08,IPE,20:07,DN,59
431,705,MKPR,19:13,PBGW DN,19:28,DN,15
394,703,KKDA DN,19:14,MKPR,19:51,DN,37
398,713,IPE,19:17,KKDA DN,19:24,DN,7
427,717,PBGW DN,19:18,IPE,20:17,DN,59
436,701,MKPR,19:23,PBGW DN,19:38,DN,15
399,713,KKDA DN,19:24,MKPR,20:01,DN,37
403,719,IPE,19:27,KKDA DN,19:34,DN,7
432,705,PBGW DN,19:28,IPE,20:27,DN,59
441,709,MKPR,19:33,PBGW DN,19:48,DN,15
404,719,KKDA DN,19:34,MKPR,20:11,DN,37
408,721,IPE,19:37,KKDA DN,19:44,DN,7
437,701,PBGW DN,19:38,IPE,20:37,DN,59
446,711,MKPR,19:43,PBGW DN,19:58,DN,15
409,721,KKDA DN,19:44,MKPR,20:21,DN,37
413,715,IPE,19:47,KKDA DN,19:54,DN,7
442,709,PBGW DN,19:48,IPE,20:47,DN,59
451,703,MKPR,19:52,PBGW DN,20:07,DN,15
414,715,KKDA DN,19:54,MKPR,20:31,DN,37
418,723,IPE,19:57,KKDA DN,20:04,DN,7
447,711,PBGW DN,19:58,IPE,20:57,DN,59
456,713,MKPR,20:02,PBGW DN,20:17,DN,15
419,723,KKDA DN,20:04,MKPR,20:41,DN,37
452,703,PBGW DN,20:07,IPE,21:06,DN,59
423,707,IPE,20:07,KKDA DN,20:14,DN,7
461,719,MKPR,20:12,PBGW DN,20:27,DN,15
424,707,KKDA DN,20:14,MKPR,20:51,DN,37
428,717,IPE,20:17,KKDA DN,20:24,DN,7
457,713,PBGW DN,20:17,IPE,21:16,DN,59
466,721,MKPR,20:22,PBGW DN,20:37,DN,15
429,717,KKDA DN,20:24,MKPR,21:01,DN,37
433,705,IPE,20:27,KKDA DN,20:34,DN,7
462,719,PBGW DN,20:27,IPE,21:26,DN,59
471,715,MKPR,20:32,PBGW DN,20:47,DN,15
434,705,KKDA DN,20:34,MKPR,21:11,DN,37
467,721,PBGW DN,20:37,IPE,21:36,DN,59
438,701,IPE,20:37,KKDA DN,20:44,DN,7
476,723,MKPR,20:42,PBGW DN,20:57,DN,15
439,701,KKDA DN,20:44,MKPR,21:21,DN,37
443,709,IPE,20:47,KKDA DN,20:54,DN,7
472,715,PBGW DN,20:47,IPE,21:46,DN,59
481,707,MKPR,20:52,PBGW DN,21:07,DN,15
444,709,KKDA DN,20:54,MKPR,21:31,DN,37
448,711,IPE,20:57,KKDA DN,21:04,DN,7
477,723,PBGW DN,20:57,IPE,21:56,DN,59
486,717,MKPR,21:02,PBGW DN,21:17,DN,15
449,711,KKDA DN,21:04,MKPR,21:41,DN,37
453,703,IPE,21:06,KKDA DN,21:12,DN,6
482,707,PBGW DN,21:07,IPE,22:06,DN,59
454,703,KKDA DN,21:12,MKPR,21:50,DN,38
491,705,MKPR,21:12,PBGW DN,21:27,DN,15
458,713,IPE,21:16,KKDA DN,21:22,DN,6
487,717,PBGW DN,21:17,IPE,22:16,DN,59
496,701,MKPR,21:22,PBGW DN,21:37,DN,15
459,713,KKDA DN,21:22,MKPR,22:00,DN,38
463,719,IPE,21:26,KKDA DN,21:32,DN,6
492,705,PBGW DN,21:27,IPE,22:26,DN,59
464,719,KKDA DN,21:32,MKPR,22:10,DN,38
501,709,MKPR,21:32,PBGW DN,21:47,DN,15
468,721,IPE,21:36,KKDA DN,21:42,DN,6
497,701,PBGW DN,21:37,IPE,22:36,DN,59
469,721,KKDA DN,21:42,MKPR,22:20,DN,38
506,711,MKPR,21:45,PBGW DN,21:59,DN,14
473,715,IPE,21:46,KKDA DN,21:52,DN,6
502,709,PBGW DN,21:47,IPE,22:46,DN,59
474,715,KKDA DN,21:52,MKPR,22:30,DN,38
478,723,IPE,21:56,KKDA DN,22:02,DN,6
507,711,PBGW DN,21:59,IPE,22:58,DN,59
511,713,MKPR,22:00,PBGW DN,22:14,DN,14
479,723,KKDA DN,22:02,MKPR,22:40,DN,38
483,707,IPE,22:06,KKDA DN,22:12,DN,6
484,707,KKDA DN,22:12,MKPR,22:50,DN,38
512,713,PBGW DN,22:14,IPE,23:13,DN,59
488,717,IPE,22:16,KKDA DN,22:22,DN,6
489,717,KKDA DN,22:22,MKPR,23:00,DN,38
493,705,IPE,22:26,KKDA DN,22:32,DN,6
494,705,KKDA DN,22:32,MKPR,23:10,DN,38
516,715,MKPR,22:32,PBGW DN,22:47,DN,15
498,701,IPE,22:36,KKDA DN,22:42,DN,6
499,701,KKDA DN,22:42,MKPR,23:20,DN,38
503,709,IPE,22:46,KKDA DN,22:52,DN,6
517,715,PBGW DN,22:47,MVPO,23:35,DN,48
520,707,MKPR,22:52,PBGW DN,23:06,DN,14
504,709,KKDA DN,22:52,MKPR,23:30,DN,38
508,711,IPE,22:58,KKDA DN,23:05,DN,7
524,717,MKPR,23:02,PBGW DN,23:16,DN,14
509,711,KKDA DN,23:05,MKPR,23:43,DN,38
521,707,PBGW DN,23:06,DDSC,23:24,DN,18
513,713,IPE,23:13,KKDA DN,23:20,DN,7
525,717,PBGW DN,23:16,DDSC,23:34,DN,18
514,713,KKDA DN,23:20,MKPR,23:58,DN,38
528,724,MKPR,23:21,SAKP,23:32,DN,11
522,707,DDSC,23:24,DDSC SDG STABLE,23:44,DN,20
529,724,SAKP,23:32,SAKP 3RD PF STABLE,23:52,DN,20
526,717,DDSC,23:34,DDSC DN PF STABLE,23:54,DN,20
518,715,MVPO,23:35,MVPO DN PF  STABLE,23:55,DN,20
