,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
162,714,PBGW UP,12:14,MKPR,12:29,UP,15
191,706,IPE,12:14,PBGW UP,13:14,UP,60
195,702,KKDA UP,12:17,IPE,12:24,UP,7
214,708,MKPR,12:20,KKDA UP,12:57,UP,37
167,716,PBGW UP,12:24,MKPR,12:39,UP,15
196,702,IPE,12:24,PBGW UP,13:24,UP,60
200,710,KKDA UP,12:27,IPE,12:34,UP,7
219,714,MKPR,12:30,KKDA UP,13:07,UP,37
172,718,PBGW UP,12:34,MKPR,12:49,UP,15
201,710,IPE,12:34,PBGW UP,13:34,UP,60
205,712,KKDA UP,12:37,IPE,12:44,UP,7
224,716,MKPR,12:40,KKDA UP,13:17,UP,37
206,712,IPE,12:44,PBGW UP,13:44,UP,60
177,720,PBGW UP,12:44,MKPR,12:59,UP,15
210,704,KKDA UP,12:47,IPE,12:54,UP,7
229,718,MKPR,12:50,KKDA UP,13:27,UP,37
211,704,IPE,12:54,PBGW UP,13:54,UP,60
182,722,PBGW UP,12:54,MKPR,13:09,UP,15
215,708,KKDA UP,12:57,IPE,13:04,UP,7
234,720,MKPR,13:00,KKDA UP,13:37,UP,37
216,708,IPE,13:04,PBGW UP,14:04,UP,60
187,724,PBGW UP,13:04,MKPR,13:19,UP,15
220,714,KKDA UP,13:07,IPE,13:14,UP,7
239,722,MKPR,13:10,KKDA UP,13:47,UP,37
192,706,PBGW UP,13:14,MKPR,13:29,UP,15
221,714,IPE,13:14,PBGW UP,14:14,UP,60
225,716,KKDA UP,13:17,IPE,13:24,UP,7
244,724,MKPR,13:20,KKDA UP,13:57,UP,37
197,702,PBGW UP,13:24,MKPR,13:39,UP,15
226,716,IPE,13:24,PBGW UP,14:24,UP,60
230,718,KKDA UP,13:27,IPE,13:34,UP,7
249,706,MKPR,13:30,KKDA UP,14:07,UP,37
231,718,IPE,13:34,PBGW UP,14:34,UP,60
202,710,PBGW UP,13:34,MKPR,13:49,UP,15
235,720,KKDA UP,13:37,IPE,13:44,UP,7
254,702,MKPR,13:40,KKDA UP,14:17,UP,37
207,712,PBGW UP,13:44,MKPR,13:59,UP,15
236,720,IPE,13:44,PBGW UP,14:44,UP,60
240,722,KKDA UP,13:47,IPE,13:54,UP,7
259,710,MKPR,13:50,KKDA UP,14:27,UP,37
212,704,PBGW UP,13:54,MKPR,14:09,UP,15
241,722,IPE,13:54,PBGW UP,14:54,UP,60
245,724,KKDA UP,13:57,IPE,14:04,UP,7
264,712,MKPR,14:00,KKDA UP,14:37,UP,37
246,724,IPE,14:04,PBGW UP,15:04,UP,60
217,708,PBGW UP,14:04,MKPR,14:19,UP,15
250,706,KKDA UP,14:07,IPE,14:14,UP,7
269,704,MKPR,14:10,KKDA UP,14:47,UP,37
222,714,PBGW UP,14:14,MKPR,14:29,UP,15
251,706,IPE,14:14,PBGW UP,15:14,UP,60
255,702,KKDA UP,14:17,IPE,14:24,UP,7
274,708,MKPR,14:20,KKDA UP,14:57,UP,37
227,716,PBGW UP,14:24,MKPR,14:39,UP,15
256,702,IPE,14:24,PBGW UP,15:24,UP,60
260,710,KKDA UP,14:27,IPE,14:34,UP,7
279,714,MKPR,14:30,KKDA UP,15:07,UP,37
261,710,IPE,14:34,PBGW UP,15:34,UP,60
232,718,PBGW UP,14:34,MKPR,14:49,UP,15
265,712,KKDA UP,14:37,IPE,14:44,UP,7
284,716,MKPR,14:40,KKDA UP,15:17,UP,37
237,720,PBGW UP,14:44,MKPR,14:59,UP,15
266,712,IPE,14:44,PBGW UP,15:44,UP,60
270,704,KKDA UP,14:47,IPE,14:54,UP,7
289,718,MKPR,14:50,KKDA UP,15:27,UP,37
242,722,PBGW UP,14:54,MKPR,15:09,UP,15
271,704,IPE,14:54,PBGW UP,15:54,UP,60
275,708,KKDA UP,14:57,IPE,15:04,UP,7
294,720,MKPR,15:00,KKDA UP,15:37,UP,37
276,708,IPE,15:04,PBGW UP,16:04,UP,60
247,724,PBGW UP,15:04,MKPR,15:19,UP,15
280,714,KKDA UP,15:07,IPE,15:14,UP,7
299,722,MKPR,15:10,KKDA UP,15:47,UP,37
281,714,IPE,15:14,PBGW UP,16:14,UP,60
252,706,PBGW UP,15:14,MKPR,15:29,UP,15
285,716,KKDA UP,15:17,IPE,15:24,UP,7
304,724,MKPR,15:20,KKDA UP,15:57,UP,37
257,702,PBGW UP,15:24,MKPR,15:39,UP,15
286,716,IPE,15:24,PBGW UP,16:24,UP,60
290,718,KKDA UP,15:27,IPE,15:34,UP,7
