,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
8,720,KKDA UP,07:37,PBGW UP,08:44,UP,67,no,No StepBack,No StepBack,91,97
286,719,KKDA DN,07:41,PBGW DN,08:34,DN,53,no,No StepBack,No StepBack,94,124
192,712,PBGW UP,07:44,KKDA UP,08:37,UP,53,no,No StepBack,No StepBack,95,109
104,701,PBGW DN,07:45,KKDA DN,08:51,DN,66,no,No StepBack,No StepBack,98,146
9,722,KKDA UP,07:47,PBGW UP,08:54,UP,67,no,No StepBack,No StepBack,99,104
287,721,KKDA DN,07:51,PBGW DN,08:44,DN,53,no,No StepBack,No StepBack,101,132
105,709,PBGW DN,07:55,KKDA DN,09:01,DN,66,no,No StepBack,No StepBack,106,151
10,724,KKDA UP,07:57,PBGW UP,09:04,UP,67,no,No StepBack,No StepBack,107,111
288,715,KKDA DN,08:01,PBGW DN,08:54,DN,53,no,No StepBack,No StepBack,110,141
193,708,PBGW UP,08:04,KKDA UP,08:57,UP,53,no,No StepBack,No StepBack,113,125
106,711,PBGW DN,08:05,KKDA DN,09:11,DN,66,no,No StepBack,No StepBack,114,161
11,706,KKDA UP,08:07,PBGW UP,09:14,UP,67,no,No StepBack,No StepBack,115,120
289,723,KKDA DN,08:11,PBGW DN,09:04,DN,53,no,No StepBack,No StepBack,118,148
194,714,PBGW UP,08:14,KKDA UP,09:07,UP,53,no,No StepBack,No StepBack,119,133
107,703,PBGW DN,08:14,KKDA DN,09:20,DN,66,no,No StepBack,No StepBack,121,167
12,702,KKDA UP,08:17,PBGW UP,09:24,UP,67,no,No StepBack,No StepBack,123,127
290,707,KKDA DN,08:21,PBGW DN,09:14,DN,53,no,No StepBack,No StepBack,126,156
108,713,PBGW DN,08:24,KKDA DN,09:30,DN,66,no,No StepBack,No StepBack,129,175
195,716,PBGW UP,08:24,KKDA UP,09:17,UP,53,no,No StepBack,No StepBack,130,140
13,710,KKDA UP,08:27,PBGW UP,09:34,UP,67,no,No StepBack,No StepBack,131,137
291,717,KKDA DN,08:31,PBGW DN,09:24,DN,53,no,No StepBack,No StepBack,134,164
109,719,PBGW DN,08:34,KKDA DN,09:40,DN,66,no,No StepBack,No StepBack,138,183
196,718,PBGW UP,08:34,KKDA UP,09:27,UP,53,no,No StepBack,No StepBack,135,149
14,712,KKDA UP,08:37,PBGW UP,09:44,UP,67,no,No StepBack,No StepBack,139,144
110,721,PBGW DN,08:44,KKDA DN,09:50,DN,66,no,No StepBack,No StepBack,145,191
197,720,PBGW UP,08:44,KKDA UP,09:37,UP,53,no,No StepBack,No StepBack,143,157
292,701,KKDA DN,08:51,PBGW DN,09:44,DN,53,no,No StepBack,No StepBack,150,181
198,722,PBGW UP,08:54,KKDA UP,09:47,UP,53,no,No StepBack,No StepBack,154,165
111,715,PBGW DN,08:54,KKDA DN,10:00,DN,66,no,No StepBack,No StepBack,152,199
15,708,KKDA UP,08:57,PBGW UP,10:04,UP,67,no,No StepBack,No StepBack,155,159
293,709,KKDA DN,09:01,PBGW DN,09:54,DN,53,no,No StepBack,No StepBack,158,190
199,724,PBGW UP,09:04,KKDA UP,09:57,UP,53,no,No StepBack,No StepBack,162,174
112,723,PBGW DN,09:04,KKDA DN,10:10,DN,66,no,No StepBack,No StepBack,160,207
16,714,KKDA UP,09:07,PBGW UP,10:14,UP,67,no,No StepBack,No StepBack,163,168
294,711,KKDA DN,09:11,PBGW DN,10:04,DN,53,no,No StepBack,No StepBack,166,198
200,706,PBGW UP,09:14,KKDA UP,10:07,UP,53,no,No StepBack,No StepBack,169,182
113,707,PBGW DN,09:14,KKDA DN,10:20,DN,66,no,No StepBack,No StepBack,170,215
17,716,KKDA UP,09:17,PBGW UP,10:24,UP,67,no,No StepBack,No StepBack,171,177
295,703,KKDA DN,09:20,PBGW DN,10:13,DN,53,no,No StepBack,No StepBack,172,204
114,717,PBGW DN,09:24,KKDA DN,10:30,DN,66,no,No StepBack,No StepBack,178,224
201,702,PBGW UP,09:24,KKDA UP,10:17,UP,53,no,No StepBack,No StepBack,176,188
18,718,KKDA UP,09:27,PBGW UP,10:34,UP,67,no,No StepBack,No StepBack,179,185
296,713,KKDA DN,09:30,PBGW DN,10:23,DN,53,no,No StepBack,No StepBack,180,212
202,710,PBGW UP,09:34,KKDA UP,10:27,UP,53,no,No StepBack,No StepBack,184,196
19,720,KKDA UP,09:37,PBGW UP,10:44,UP,67,no,No StepBack,No StepBack,187,193
297,719,KKDA DN,09:40,PBGW DN,10:33,DN,53,no,No StepBack,No StepBack,189,220
115,701,PBGW DN,09:44,KKDA DN,10:50,DN,66,no,No StepBack,No StepBack,192,240
203,712,PBGW UP,09:44,KKDA UP,10:37,UP,53,no,No StepBack,No StepBack,194,206
20,722,KKDA UP,09:47,PBGW UP,10:54,UP,67,no,No StepBack,No StepBack,195,201
298,721,KKDA DN,09:50,PBGW DN,10:43,DN,53,no,No StepBack,No StepBack,197,228
116,709,PBGW DN,09:54,KKDA DN,11:00,DN,66,no,No StepBack,No StepBack,202,247
21,724,KKDA UP,09:57,PBGW UP,11:04,UP,67,no,No StepBack,No StepBack,203,208
299,715,KKDA DN,10:00,PBGW DN,10:53,DN,53,no,No StepBack,No StepBack,205,236
117,711,PBGW DN,10:04,KKDA DN,11:10,DN,66,no,No StepBack,No StepBack,210,256
204,708,PBGW UP,10:04,KKDA UP,10:57,UP,53,no,No StepBack,No StepBack,209,222
22,706,KKDA UP,10:07,PBGW UP,11:14,UP,67,no,No StepBack,No StepBack,211,218
300,723,KKDA DN,10:10,PBGW DN,11:03,DN,53,no,No StepBack,No StepBack,214,244
118,703,PBGW DN,10:13,KKDA DN,11:19,DN,66,no,No StepBack,No StepBack,216,263
205,714,PBGW UP,10:14,KKDA UP,11:07,UP,53,no,No StepBack,No StepBack,217,230
23,702,KKDA UP,10:17,PBGW UP,11:24,UP,67,no,No StepBack,No StepBack,219,226
301,707,KKDA DN,10:20,PBGW DN,11:13,DN,53,no,No StepBack,No StepBack,221,252
119,713,PBGW DN,10:23,KKDA DN,11:29,DN,66,no,No StepBack,No StepBack,223,271
206,716,PBGW UP,10:24,KKDA UP,11:17,UP,53,no,No StepBack,No StepBack,225,238
24,710,KKDA UP,10:27,PBGW UP,11:34,UP,67,no,No StepBack,No StepBack,227,233
302,717,KKDA DN,10:30,PBGW DN,11:23,DN,53,no,No StepBack,No StepBack,229,260
120,719,PBGW DN,10:33,KKDA DN,11:39,DN,66,no,No StepBack,No StepBack,231,279
207,718,PBGW UP,10:34,KKDA UP,11:27,UP,53,no,No StepBack,No StepBack,234,246
25,712,KKDA UP,10:37,PBGW UP,11:44,UP,67,no,No StepBack,No StepBack,235,242
121,721,PBGW DN,10:43,KKDA DN,11:49,DN,66,no,No StepBack,No StepBack,239,287
208,720,PBGW UP,10:44,KKDA UP,11:37,UP,53,no,No StepBack,No StepBack,241,254
