,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
303,701,KKDA DN,10:50,PBGW DN,11:43,DN,53,no,No StepBack,No StepBack,245,276
122,715,PBGW DN,10:53,KKDA DN,11:59,DN,66,no,No StepBack,No StepBack,248,295
209,722,PBGW UP,10:54,KKDA UP,11:47,UP,53,no,No StepBack,No StepBack,249,261
26,708,KKDA UP,10:57,PBGW UP,12:04,UP,67,no,No StepBack,No StepBack,251,258
304,709,KKDA DN,11:00,PBGW DN,11:53,DN,53,no,No StepBack,No StepBack,253,284
123,723,PBGW DN,11:03,KKDA DN,12:09,DN,66,no,No StepBack,No StepBack,255,303
210,724,PBGW UP,11:04,KKDA UP,11:57,UP,53,no,No StepBack,No StepBack,257,270
27,714,KKDA UP,11:07,PBGW UP,12:14,UP,67,no,No StepBack,No StepBack,259,265
305,711,KKDA DN,11:10,PBGW DN,12:03,DN,53,no,No StepBack,No StepBack,262,292
124,707,PBGW DN,11:13,KKDA DN,12:19,DN,66,no,No StepBack,No StepBack,264,312
211,706,PBGW UP,11:14,KKDA UP,12:07,UP,53,no,No StepBack,No StepBack,266,278
28,716,KKDA UP,11:17,PBGW UP,12:24,UP,67,no,No StepBack,No StepBack,267,274
306,703,KKDA DN,11:19,PBGW DN,12:12,DN,53,no,No StepBack,No StepBack,269,300
125,717,PBGW DN,11:23,KKDA DN,12:29,DN,66,no,No StepBack,No StepBack,272,319
212,702,PBGW UP,11:24,KKDA UP,12:17,UP,53,no,No StepBack,No StepBack,273,286
29,718,KKDA UP,11:27,PBGW UP,12:34,UP,67,no,No StepBack,No StepBack,275,282
307,713,KKDA DN,11:29,PBGW DN,12:22,DN,53,no,No StepBack,No StepBack,277,308
213,710,PBGW UP,11:34,KKDA UP,12:27,UP,53,no,No StepBack,No StepBack,281,294
30,720,KKDA UP,11:37,PBGW UP,12:44,UP,67,no,No StepBack,No StepBack,283,289
308,719,KKDA DN,11:39,PBGW DN,12:32,DN,53,no,No StepBack,No StepBack,285,315
126,701,PBGW DN,11:43,KKDA DN,12:49,DN,66,no,No StepBack,No StepBack,288,335
214,712,PBGW UP,11:44,KKDA UP,12:37,UP,53,no,No StepBack,No StepBack,290,302
31,722,KKDA UP,11:47,PBGW UP,12:54,UP,67,no,No StepBack,No StepBack,291,298
309,721,KKDA DN,11:49,PBGW DN,12:42,DN,53,no,No StepBack,No StepBack,293,323
127,709,PBGW DN,11:53,KKDA DN,12:59,DN,66,no,No StepBack,No StepBack,296,343
32,724,KKDA UP,11:57,PBGW UP,13:04,UP,67,no,No StepBack,No StepBack,299,305
310,715,KKDA DN,11:59,PBGW DN,12:52,DN,53,no,No StepBack,No StepBack,301,332
128,711,PBGW DN,12:03,KKDA DN,13:09,DN,66,no,No StepBack,No StepBack,304,352
215,708,PBGW UP,12:04,KKDA UP,12:57,UP,53,no,No StepBack,No StepBack,306,318
33,706,KKDA UP,12:07,PBGW UP,13:14,UP,67,no,No StepBack,No StepBack,307,314
311,723,KKDA DN,12:09,PBGW DN,13:02,DN,53,no,No StepBack,No StepBack,309,340
129,703,PBGW DN,12:12,KKDA DN,13:17,DN,65,no,No StepBack,No StepBack,311,359
216,714,PBGW UP,12:14,KKDA UP,13:07,UP,53,no,No StepBack,No StepBack,313,326
34,702,KKDA UP,12:17,PBGW UP,13:24,UP,67,no,No StepBack,No StepBack,316,321
312,707,KKDA DN,12:19,PBGW DN,13:12,DN,53,no,No StepBack,No StepBack,317,348
130,713,PBGW DN,12:22,KKDA DN,13:27,DN,65,no,No StepBack,No StepBack,320,367
217,716,PBGW UP,12:24,KKDA UP,13:17,UP,53,no,No StepBack,No StepBack,322,334
35,710,KKDA UP,12:27,PBGW UP,13:34,UP,67,no,No StepBack,No StepBack,324,330
313,717,KKDA DN,12:29,PBGW DN,13:22,DN,53,no,No StepBack,No StepBack,325,355
131,719,PBGW DN,12:32,KKDA DN,13:37,DN,65,no,No StepBack,No StepBack,327,375
218,718,PBGW UP,12:34,KKDA UP,13:27,UP,53,no,No StepBack,No StepBack,329,342
36,712,KKDA UP,12:37,PBGW UP,13:44,UP,67,no,No StepBack,No StepBack,331,338
132,721,PBGW DN,12:42,KKDA DN,13:47,DN,65,no,No StepBack,No StepBack,336,383
219,720,PBGW UP,12:44,KKDA UP,13:37,UP,53,no,No StepBack,No StepBack,337,350
314,701,KKDA DN,12:49,PBGW DN,13:42,DN,53,no,No StepBack,No StepBack,341,373
133,715,PBGW DN,12:52,KKDA DN,13:57,DN,65,no,No StepBack,No StepBack,344,391
220,722,PBGW UP,12:54,KKDA UP,13:47,UP,53,no,No StepBack,No StepBack,345,358
37,708,KKDA UP,12:57,PBGW UP,14:04,UP,67,no,No StepBack,No StepBack,347,354
315,709,KKDA DN,12:59,PBGW DN,13:52,DN,53,no,No StepBack,No StepBack,349,379
134,723,PBGW DN,13:02,KKDA DN,14:07,DN,65,no,No StepBack,No StepBack,351,399
221,724,PBGW UP,13:04,KKDA UP,13:57,UP,53,no,No StepBack,No StepBack,353,366
38,714,KKDA UP,13:07,PBGW UP,14:14,UP,67,no,No StepBack,No StepBack,356,361
316,711,KKDA DN,13:09,PBGW DN,14:02,DN,53,no,No StepBack,No StepBack,357,389
135,707,PBGW DN,13:12,KKDA DN,14:17,DN,65,no,No StepBack,No StepBack,360,408
222,706,PBGW UP,13:14,KKDA UP,14:07,UP,53,no,No StepBack,No StepBack,362,374
317,703,KKDA DN,13:17,PBGW DN,14:10,DN,53,no,No StepBack,No StepBack,363,395
39,716,KKDA UP,13:17,PBGW UP,14:24,UP,67,no,No StepBack,No StepBack,364,369
136,717,PBGW DN,13:22,KKDA DN,14:27,DN,65,no,No StepBack,No StepBack,368,416
223,702,PBGW UP,13:24,KKDA UP,14:17,UP,53,no,No StepBack,No StepBack,370,382
40,718,KKDA UP,13:27,PBGW UP,14:34,UP,67,no,No StepBack,No StepBack,371,378
318,713,KKDA DN,13:27,PBGW DN,14:20,DN,53,no,No StepBack,No StepBack,372,403
224,710,PBGW UP,13:34,KKDA UP,14:27,UP,53,no,No StepBack,No StepBack,377,390
319,719,KKDA DN,13:37,PBGW DN,14:30,DN,53,no,No StepBack,No StepBack,381,411
41,720,KKDA UP,13:37,PBGW UP,14:44,UP,67,no,No StepBack,No StepBack,380,385
137,701,PBGW DN,13:42,KKDA DN,14:47,DN,65,no,No StepBack,No StepBack,384,432
225,712,PBGW UP,13:44,KKDA UP,14:37,UP,53,no,No StepBack,No StepBack,386,398
42,722,KKDA UP,13:47,PBGW UP,14:54,UP,67,no,No StepBack,No StepBack,387,394
320,721,KKDA DN,13:47,PBGW DN,14:40,DN,53,no,No StepBack,No StepBack,388,419
138,709,PBGW DN,13:52,KKDA DN,14:57,DN,65,no,No StepBack,No StepBack,392,440
321,715,KKDA DN,13:57,PBGW DN,14:50,DN,53,no,No StepBack,No StepBack,396,427
43,724,KKDA UP,13:57,PBGW UP,15:04,UP,67,no,No StepBack,No StepBack,397,402
139,711,PBGW DN,14:02,KKDA DN,15:07,DN,65,no,No StepBack,No StepBack,400,448
226,708,PBGW UP,14:04,KKDA UP,14:57,UP,53,no,No StepBack,No StepBack,401,415
44,706,KKDA UP,14:07,PBGW UP,15:14,UP,67,no,No StepBack,No StepBack,405,409
322,723,KKDA DN,14:07,PBGW DN,15:00,DN,53,no,No StepBack,No StepBack,404,435
140,703,PBGW DN,14:10,KKDA DN,15:16,DN,66,no,No StepBack,No StepBack,407,454
227,714,PBGW UP,14:14,KKDA UP,15:07,UP,53,no,No StepBack,No StepBack,410,423
323,707,KKDA DN,14:17,PBGW DN,15:10,DN,53,no,No StepBack,No StepBack,413,443
45,702,KKDA UP,14:17,PBGW UP,15:24,UP,67,no,No StepBack,No StepBack,412,417
141,713,PBGW DN,14:20,KKDA DN,15:26,DN,66,no,No StepBack,No StepBack,414,462
228,716,PBGW UP,14:24,KKDA UP,15:17,UP,53,no,No StepBack,No StepBack,418,430
46,710,KKDA UP,14:27,PBGW UP,15:34,UP,67,no,No StepBack,No StepBack,421,426
324,717,KKDA DN,14:27,PBGW DN,15:20,DN,53,no,No StepBack,No StepBack,420,451
142,719,PBGW DN,14:30,KKDA DN,15:36,DN,66,no,No StepBack,No StepBack,422,470
229,718,PBGW UP,14:34,KKDA UP,15:27,UP,53,no,No StepBack,No StepBack,425,438
47,712,KKDA UP,14:37,PBGW UP,15:44,UP,67,no,No StepBack,No StepBack,429,433
143,721,PBGW DN,14:40,KKDA DN,15:46,DN,66,no,No StepBack,No StepBack,431,478
230,720,PBGW UP,14:44,KKDA UP,15:37,UP,53,no,No StepBack,No StepBack,434,447
325,701,KKDA DN,14:47,PBGW DN,15:40,DN,53,no,No StepBack,No StepBack,437,467
144,715,PBGW DN,14:50,KKDA DN,15:56,DN,66,no,No StepBack,No StepBack,439,486
231,722,PBGW UP,14:54,KKDA UP,15:47,UP,53,no,No StepBack,No StepBack,441,456
48,708,KKDA UP,14:57,PBGW UP,16:04,UP,67,no,No StepBack,No StepBack,444,450
326,709,KKDA DN,14:57,PBGW DN,15:50,DN,53,no,No StepBack,No StepBack,445,476
145,723,PBGW DN,15:00,KKDA DN,16:06,DN,66,no,No StepBack,No StepBack,446,494
232,724,PBGW UP,15:04,KKDA UP,15:57,UP,53,no,No StepBack,No StepBack,449,464
49,714,KKDA UP,15:07,PBGW UP,16:14,UP,67,no,No StepBack,No StepBack,453,458
327,711,KKDA DN,15:07,PBGW DN,16:00,DN,53,no,No StepBack,No StepBack,452,484
146,707,PBGW DN,15:10,KKDA DN,16:16,DN,66,no,No StepBack,No StepBack,455,502
233,706,PBGW UP,15:14,KKDA UP,16:07,UP,53,no,No StepBack,No StepBack,457,472
328,703,KKDA DN,15:16,PBGW DN,16:09,DN,53,no,No StepBack,No StepBack,460,491
50,716,KKDA UP,15:17,PBGW UP,16:24,UP,67,no,No StepBack,No StepBack,461,466
147,717,PBGW DN,15:20,KKDA DN,16:26,DN,66,no,No StepBack,No StepBack,463,510
234,702,PBGW UP,15:24,KKDA UP,16:17,UP,53,no,No StepBack,No StepBack,465,479
329,713,KKDA DN,15:26,PBGW DN,16:19,DN,53,no,No StepBack,No StepBack,468,499
51,718,KKDA UP,15:27,PBGW UP,16:34,UP,67,no,No StepBack,No StepBack,469,473
235,710,PBGW UP,15:34,KKDA UP,16:27,UP,53,no,No StepBack,No StepBack,474,487
330,719,KKDA DN,15:36,PBGW DN,16:29,DN,53,no,No StepBack,No StepBack,475,507
